assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,timeOnIce,wins,season,completeGamePct,completeGames,goalsFor,goalsForAverage,incompleteGames,qualityStart,qualityStartsPct,regulationLosses,regulationWins,shotsAgainstPer60,season_year,name_key,heightInInches,weightInPounds,birthCity,birthCountry,draftYear,draftRound,draftOverall,player_name_cw,team_cw,position_cw,cap_hit
0,9,9,Ukko-Pekka Luukkonen,0,23,2.74317,Luukkonen,5,2,0,8480045,0,0.91696,254,20212022,L,277,0,BUF,30184,2,20212022,0.888888,8,16,1.90829,1,7,0.777777,6,1,33.037372,2022,ukkopekka luukkonen,77,223,Espoo,FIN,2017.0,2.0,23.0,Ukko-Pekka Luukkonen,BUF,G,837500.0
0,6,4,Harri Sateri,0,21,4.22299,Sateri,2,1,0,8474667,0,0.86624,136,20212022,L,157,0,ARI,17902,2,20212022,0.75,3,15,3.01642,1,0,0.0,3,2,31.571896,2022,harri sateri,73,205,Toijala,FIN,2008.0,4.0,15.0,,,,
0,2,2,Michael Houser,0,4,2.0,Houser,0,0,0,8475920,0,0.94805,73,20212022,L,77,0,BUF,7200,2,20212022,1.0,2,9,4.5,0,2,1.0,0,2,38.5,2022,michael houser,73,185,Youngstown,USA,,,,,,,
0,3,2,Pyotr Kochetkov,0,6,2.42261,Kochetkov,0,0,0,8481611,0,0.90163,55,20212022,L,61,0,CAR,8916,3,20212022,1.0,2,9,3.63391,0,1,0.5,0,3,24.629885,2022,pyotr kochetkov,75,196,Penza,RUS,2019.0,2.0,5.0,,,,
0,6,6,Spencer Martin,0,11,1.74441,Martin,0,3,0,8477484,0,0.94954,207,20212022,L,218,0,VAN,22701,3,20212022,1.0,6,18,2.85449,0,6,1.0,1,3,34.571166,2022,spencer martin,75,191,Oakville,CAN,2013.0,3.0,2.0,,,,
0,11,8,Jonas Johansson,0,38,4.68637,Johansson,4,1,0,8477992,0,0.85606,226,20212022,L,264,0,"COL,FLA",29191,3,20212022,0.875,7,28,3.45311,1,3,0.375,5,3,32.55798,2022,jonas johansson,77,220,Gavle,SWE,2014.0,3.0,1.0,,,,
1,20,15,Jon Gillies,0,62,3.70241,Gillies,10,2,0,8476903,1,0.88727,488,20212022,L,550,0,"STL,NJD",60285,3,20212022,0.866666,13,52,3.10525,2,6,0.4,12,3,32.843991,2022,jon gillies,78,223,Concord,USA,2012.0,3.0,14.0,Jon Gillies,CBJ,G,750000.0
0,4,4,Joseph Woll,0,11,2.75114,Woll,1,0,2,8479361,0,0.91056,112,20212022,L,123,1,TOR,14394,3,20212022,1.0,4,15,3.75156,0,2,0.5,1,3,30.76282,2022,joseph woll,75,212,Dardenne Prairie,USA,2016.0,3.0,1.0,,,,
0,9,7,Anton Khudobin,0,28,3.63269,Khudobin,4,1,0,8471418,0,0.87878,203,20212022,L,231,0,DAL,27748,3,20212022,0.857142,6,21,2.72452,1,3,0.428571,5,3,29.96973,2022,anton khudobin,71,210,Ust-Kamenogorsk,KAZ,2004.0,7.0,13.0,Anton Khudobin,CHI,G,3333334.0
1,6,6,J-F Berube,0,21,4.11921,Berube,2,0,0,8475234,1,0.89952,188,20212022,L,209,0,CBJ,18353,3,20212022,0.833333,5,21,4.11921,1,4,0.666666,2,3,40.996026,2022,jf berube,73,177,Repentigny,CAN,2009.0,4.0,4.0,,,,
0,10,8,Jonathan Bernier,0,26,3.05822,Bernier,4,1,0,8473541,0,0.90151,238,20212022,L,264,0,NJD,30606,4,20212022,0.875,7,22,2.58772,1,3,0.375,4,3,31.052737,2022,jonathan bernier,72,185,Laval,CAN,2006.0,1.0,11.0,Jonathan Bernier,NJD,G,4125000.0
0,17,14,Jaroslav Halak,0,39,2.93729,Halak,7,2,2,8470860,0,0.9025,361,20212022,L,400,0,VAN,47799,4,20212022,0.785714,11,33,2.4854,3,7,0.5,8,4,30.126153,2022,jaroslav halak,71,189,Bratislava,SVK,2003.0,9.0,10.0,Jaroslav Halak,NYR,G,1500000.0
0,11,10,Andrew Hammond,0,38,3.88768,Hammond,5,1,0,8477202,0,0.87898,276,20212022,L,314,0,"MTL,NJD",35188,4,20212022,0.8,8,24,2.45538,2,4,0.4,6,3,32.124589,2022,andrew hammond,74,215,Surrey,CAN,,,,,,,
0,18,16,Filip Gustavsson,0,62,3.55114,Gustavsson,12,1,0,8479406,0,0.89198,512,20212022,L,574,0,OTT,62853,5,20212022,1.0,16,46,2.63471,0,8,0.5,13,3,32.876713,2022,filip gustavsson,74,184,Skelleftea,SWE,2016.0,2.0,25.0,Filip Gustavsson,MIN,G,787500.0
0,5,4,Charlie Lindgren,0,5,1.21745,Lindgren,0,0,0,8479292,0,0.95762,113,20212022,R,118,0,STL,14785,5,20212022,1.0,4,19,4.62631,0,4,1.0,0,5,28.731825,2022,charlie lindgren,74,190,Lakeville,USA,,,,Charlie Lindgren,WAS,G,1100000.0
0,20,20,Matt Murray,0,60,3.04693,Murray,12,2,0,8476899,0,0.90625,580,20212022,L,640,1,OTT,70891,5,20212022,0.9,18,48,2.43754,2,12,0.6,13,5,32.5006,2022,matt murray,77,220,Thunder Bay,CAN,2012.0,3.0,22.0,,,,
0,17,12,David Rittich,0,49,3.57258,Rittich,3,4,2,8479496,0,0.88631,382,20212022,L,431,0,NSH,49376,6,20212022,1.0,12,46,3.35385,0,4,0.333333,6,5,31.424174,2022,david rittich,75,200,Jihlava,CZE,,,,David Rittich,WPG,G,900000.0
0,13,12,Stuart Skinner,0,32,2.61526,Skinner,6,0,0,8479973,0,0.9128,335,20212022,L,367,1,EDM,44049,6,20212022,1.0,12,42,3.43254,0,6,0.5,6,5,29.993871,2022,stuart skinner,76,215,Edmonton,CAN,2017.0,3.0,16.0,Stuart Skinner,EDM,G,750000.0
